sampling_region,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,CWD_distribution,sampling,AdultMaleHarvest,AdultMaleTested,YearlingMaleHarvest,YearlingMaleTested,FawnMaleHarvest,FawnMaleTested,AdultFemaleHarvest,AdultFemaleTested,YearlingFemaleHarvest,YearlingFemaleTested,FawnFemaleHarvest,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev
Franklin County,4305,3099,4458,6448,3256,4234,52,0,0,53,0,0,105,clustered_dist,non-random_sampling,1693,169,762,0,206,0,1240,128,488,0,79,0,29,1,1,0.003
Franklin County,4305,3099,4458,6448,3256,4234,54,0,0,63,0,0,117,clustered_dist,non-random_sampling,1689,169,762,0,198,0,1241,122,488,0,75,0,22,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,52,0,0,52,0,0,104,clustered_dist,non-random_sampling,1687,171,757,0,205,0,1245,125,488,0,77,0,28,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,54,0,0,53,0,0,107,clustered_dist,non-random_sampling,1684,171,761,0,199,0,1246,128,488,0,75,0,25,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,48,0,0,51,0,0,99,clustered_dist,non-random_sampling,1684,170,761,0,203,0,1241,125,488,0,76,0,19,2,1,0.007
Franklin County,4305,3099,4458,6448,3256,4234,51,0,0,59,0,0,110,clustered_dist,non-random_sampling,1685,170,761,0,200,0,1237,126,488,0,76,0,35,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,45,0,0,56,0,0,101,clustered_dist,non-random_sampling,1687,169,754,0,203,0,1243,126,488,0,80,0,37,21,1,0.071
Franklin County,4305,3099,4458,6448,3256,4234,66,0,0,64,0,0,130,clustered_dist,non-random_sampling,1688,169,761,0,203,0,1245,125,488,0,75,0,31,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,63,0,0,59,0,0,122,clustered_dist,non-random_sampling,1698,171,759,0,205,0,1239,124,488,0,74,0,37,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,63,0,0,53,0,0,116,clustered_dist,non-random_sampling,1691,171,762,0,198,0,1232,127,488,0,78,0,34,9,1,0.03
Franklin County,4305,3099,4458,6448,3256,4234,47,0,0,54,0,0,101,clustered_dist,non-random_sampling,1680,171,761,0,199,0,1236,125,488,0,78,0,23,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,47,0,0,47,0,0,94,clustered_dist,non-random_sampling,1694,171,761,0,208,0,1231,127,488,0,78,0,26,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,56,0,0,51,0,0,107,clustered_dist,non-random_sampling,1691,169,758,0,201,0,1237,126,488,0,77,0,35,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,48,0,0,46,0,0,94,clustered_dist,non-random_sampling,1688,170,763,0,201,0,1245,128,488,0,73,0,27,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,55,0,0,59,0,0,114,clustered_dist,non-random_sampling,1685,170,756,0,202,0,1238,126,488,0,77,0,21,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,54,0,0,52,0,0,106,clustered_dist,non-random_sampling,1686,170,759,0,204,0,1246,126,488,0,75,0,10,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,47,0,0,56,0,0,103,clustered_dist,non-random_sampling,1695,171,757,0,201,0,1246,128,488,0,76,0,28,1,1,0.003
Franklin County,4305,3099,4458,6448,3256,4234,57,0,0,45,0,0,102,clustered_dist,non-random_sampling,1693,171,761,0,202,0,1245,127,488,0,75,0,28,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,59,0,0,56,0,0,115,clustered_dist,non-random_sampling,1687,171,765,0,204,0,1241,125,488,0,76,0,23,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,60,0,0,56,0,0,116,clustered_dist,non-random_sampling,1687,171,760,0,198,0,1246,128,488,0,77,0,33,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,63,0,0,58,0,0,121,clustered_dist,non-random_sampling,1693,169,758,0,202,0,1245,127,488,0,77,0,39,17,1,0.057
Franklin County,4305,3099,4458,6448,3256,4234,54,0,0,56,0,0,110,clustered_dist,non-random_sampling,1679,167,758,0,204,0,1233,123,488,0,71,0,32,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,47,0,0,52,0,0,99,clustered_dist,non-random_sampling,1689,170,759,0,200,0,1243,127,488,0,79,0,38,4,1,0.013
Franklin County,4305,3099,4458,6448,3256,4234,52,0,0,56,0,0,108,clustered_dist,non-random_sampling,1686,172,755,0,201,0,1243,125,488,0,75,0,32,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,58,0,0,50,0,0,108,clustered_dist,non-random_sampling,1685,168,763,0,201,0,1232,122,488,0,75,0,26,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,56,0,0,50,0,0,106,clustered_dist,non-random_sampling,1683,170,756,0,197,0,1245,126,488,0,76,0,40,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,51,0,0,54,0,0,105,clustered_dist,non-random_sampling,1688,169,759,0,205,0,1234,125,488,0,78,0,18,12,1,0.041
Franklin County,4305,3099,4458,6448,3256,4234,55,0,0,63,0,0,118,clustered_dist,non-random_sampling,1693,169,757,0,204,0,1242,126,488,0,79,0,27,6,1,0.02
Franklin County,4305,3099,4458,6448,3256,4234,51,0,0,52,0,0,103,clustered_dist,non-random_sampling,1680,170,756,0,203,0,1243,128,488,0,75,0,24,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,51,0,0,57,0,0,108,clustered_dist,non-random_sampling,1690,172,760,0,206,0,1230,125,488,0,71,0,27,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,53,0,0,67,0,0,120,clustered_dist,non-random_sampling,1684,171,760,0,200,0,1235,124,488,0,74,0,27,2,1,0.007
Franklin County,4305,3099,4458,6448,3256,4234,50,0,0,64,0,0,114,clustered_dist,non-random_sampling,1699,171,755,0,201,0,1231,123,488,0,76,0,33,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,51,0,0,58,0,0,109,clustered_dist,non-random_sampling,1689,171,754,0,202,0,1239,123,488,0,77,0,41,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,46,0,0,60,0,0,106,clustered_dist,non-random_sampling,1693,170,760,0,206,0,1239,123,488,0,78,0,22,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,62,0,0,59,0,0,121,clustered_dist,non-random_sampling,1688,170,761,0,201,0,1239,127,488,0,75,0,19,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,56,0,0,56,0,0,112,clustered_dist,non-random_sampling,1694,171,760,0,207,0,1237,123,488,0,78,0,41,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,59,0,0,61,0,0,120,clustered_dist,non-random_sampling,1695,171,762,0,204,0,1251,128,488,0,76,0,36,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,52,0,0,51,0,0,103,clustered_dist,non-random_sampling,1695,172,756,0,203,0,1243,124,488,0,76,0,36,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,52,0,0,48,0,0,100,clustered_dist,non-random_sampling,1683,171,761,0,199,0,1232,127,488,0,75,0,18,9,1,0.03
Franklin County,4305,3099,4458,6448,3256,4234,56,0,0,55,0,0,111,clustered_dist,non-random_sampling,1686,171,759,0,203,0,1247,124,488,0,77,0,24,15,1,0.051
Franklin County,4305,3099,4458,6448,3256,4234,46,0,0,55,0,0,101,clustered_dist,non-random_sampling,1692,172,757,0,191,0,1245,128,488,0,76,0,51,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,67,0,0,57,0,0,124,clustered_dist,non-random_sampling,1694,172,763,0,199,0,1242,126,488,0,76,0,30,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,51,0,0,48,0,0,99,clustered_dist,non-random_sampling,1687,171,755,0,196,0,1239,126,488,0,77,0,16,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,51,0,0,52,0,0,103,clustered_dist,non-random_sampling,1690,171,758,0,200,0,1240,127,488,0,76,0,23,14,1,0.047
Franklin County,4305,3099,4458,6448,3256,4234,52,0,0,47,0,0,99,clustered_dist,non-random_sampling,1683,167,759,0,201,0,1234,123,488,0,75,0,18,6,1,0.021
Franklin County,4305,3099,4458,6448,3256,4234,57,0,0,57,0,0,114,clustered_dist,non-random_sampling,1687,170,761,0,204,0,1244,126,488,0,74,0,48,27,1,0.091
Franklin County,4305,3099,4458,6448,3256,4234,58,0,0,55,0,0,113,clustered_dist,non-random_sampling,1690,170,757,0,200,0,1242,123,488,0,75,0,18,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,44,0,0,57,0,0,101,clustered_dist,non-random_sampling,1690,169,760,0,200,0,1235,125,488,0,78,0,25,3,1,0.01
Franklin County,4305,3099,4458,6448,3256,4234,50,0,0,56,0,0,106,clustered_dist,non-random_sampling,1688,169,762,0,205,0,1239,126,488,0,74,0,37,22,1,0.075
Franklin County,4305,3099,4458,6448,3256,4234,50,0,0,52,0,0,102,clustered_dist,non-random_sampling,1692,170,758,0,196,0,1249,128,488,0,76,0,25,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,55,0,0,44,0,0,99,clustered_dist,non-random_sampling,1692,169,761,0,200,0,1251,127,488,0,76,0,42,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,57,0,0,63,0,0,120,clustered_dist,non-random_sampling,1687,171,761,0,207,0,1242,126,488,0,75,0,39,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,55,0,0,53,0,0,108,clustered_dist,non-random_sampling,1688,168,755,0,200,0,1243,126,488,0,77,0,40,0,0,0
