sampling_region,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,CWD_distribution,sampling,AdultMaleHarvest,AdultMaleTested,YearlingMaleHarvest,YearlingMaleTested,FawnMaleHarvest,FawnMaleTested,AdultFemaleHarvest,AdultFemaleTested,YearlingFemaleHarvest,YearlingFemaleTested,FawnFemaleHarvest,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,32,0,0,65,random_dist,random_sampling,1723,341,769,0,224,0,1256,253,463,0,76,0,19,4,1,0.007
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,32,0,0,65,random_dist,random_sampling,1728,341,808,0,227,0,1211,253,462,0,71,0,20,4,1,0.007
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,32,0,0,65,random_dist,random_sampling,1689,341,779,0,210,0,1278,253,482,0,65,0,21,3,1,0.005
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,32,0,0,65,random_dist,random_sampling,1729,341,713,0,232,0,1158,253,448,0,81,0,16,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,32,0,0,65,random_dist,random_sampling,1666,341,796,0,216,0,1281,253,478,0,95,0,19,3,1,0.005
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,32,0,0,65,random_dist,random_sampling,1744,341,763,0,223,0,1234,253,481,0,82,0,17,1,1,0.002
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,32,0,0,65,random_dist,random_sampling,1710,341,736,0,234,0,1280,253,516,0,76,0,24,8,1,0.013
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,32,0,0,65,random_dist,random_sampling,1704,341,765,0,206,0,1261,253,468,0,76,0,16,4,1,0.007
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,32,0,0,65,random_dist,random_sampling,1696,341,791,0,223,0,1293,253,496,0,67,0,24,5,1,0.008
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,32,0,0,65,random_dist,random_sampling,1679,341,744,0,188,0,1272,253,474,0,96,0,17,4,1,0.007
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,32,0,0,65,random_dist,random_sampling,1744,341,787,0,206,0,1297,253,473,0,70,0,19,2,1,0.003
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,32,0,0,65,random_dist,random_sampling,1709,341,781,0,237,0,1308,253,463,0,76,0,17,4,1,0.007
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,32,0,0,65,random_dist,random_sampling,1693,341,783,0,216,0,1257,253,473,0,74,0,15,6,1,0.01
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,32,0,0,65,random_dist,random_sampling,1676,341,746,0,232,0,1279,253,506,0,58,0,16,2,1,0.003
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,32,0,0,65,random_dist,random_sampling,1697,341,807,0,204,0,1272,253,506,0,87,0,18,4,1,0.007
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,32,0,0,65,random_dist,random_sampling,1634,341,752,0,212,0,1260,253,477,0,83,0,18,4,1,0.007
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,32,0,0,65,random_dist,random_sampling,1638,341,765,0,201,0,1267,253,491,0,92,0,22,4,1,0.007
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,32,0,0,65,random_dist,random_sampling,1693,341,723,0,203,0,1321,253,464,0,74,0,17,4,1,0.007
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,32,0,0,65,random_dist,random_sampling,1655,341,774,0,211,0,1223,253,466,0,87,0,19,7,1,0.012
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,32,0,0,65,random_dist,random_sampling,1682,341,743,0,225,0,1239,253,481,0,91,0,24,5,1,0.008
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,32,0,0,65,random_dist,random_sampling,1692,341,786,0,193,0,1242,253,495,0,89,0,23,6,1,0.01
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,32,0,0,65,random_dist,random_sampling,1712,341,792,0,204,0,1205,253,521,0,74,0,21,2,1,0.003
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,32,0,0,65,random_dist,random_sampling,1687,341,785,0,213,0,1271,253,518,0,73,0,15,3,1,0.005
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,32,0,0,65,random_dist,random_sampling,1702,341,783,0,201,0,1271,253,488,0,57,0,20,2,1,0.003
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,32,0,0,65,random_dist,random_sampling,1672,341,768,0,187,0,1263,253,529,0,79,0,16,5,1,0.008
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,32,0,0,65,random_dist,random_sampling,1704,341,754,0,234,0,1280,253,470,0,85,0,20,5,1,0.008
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,32,0,0,65,random_dist,random_sampling,1700,341,736,0,218,0,1263,253,476,0,96,0,24,4,1,0.007
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,32,0,0,65,random_dist,random_sampling,1682,341,737,0,219,0,1256,253,531,0,70,0,23,4,1,0.007
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,32,0,0,65,random_dist,random_sampling,1753,341,748,0,194,0,1306,253,479,0,79,0,26,6,1,0.01
