sampling_region,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,CWD_distribution,sampling,AdultMaleHarvest,AdultMaleTested,YearlingMaleHarvest,YearlingMaleTested,FawnMaleHarvest,FawnMaleTested,AdultFemaleHarvest,AdultFemaleTested,YearlingFemaleHarvest,YearlingFemaleTested,FawnFemaleHarvest,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev
Franklin County,4305,3099,4458,6448,3256,4234,52,0,0,58,0,0,110,clustered_dist,non-random_sampling,1682,840,762,0,202,0,1243,620,488,0,76,0,18,6,1,0.004
Franklin County,4305,3099,4458,6448,3256,4234,57,0,0,50,0,0,107,clustered_dist,non-random_sampling,1690,845,760,0,200,0,1241,621,488,0,79,0,23,21,1,0.014
Franklin County,4305,3099,4458,6448,3256,4234,69,0,0,54,0,0,123,clustered_dist,non-random_sampling,1688,842,763,0,195,0,1247,624,488,0,76,0,48,43,1,0.029
Franklin County,4305,3099,4458,6448,3256,4234,62,0,0,54,0,0,116,clustered_dist,non-random_sampling,1692,843,757,0,202,0,1246,623,488,0,76,0,26,6,1,0.004
Franklin County,4305,3099,4458,6448,3256,4234,56,0,0,54,0,0,110,clustered_dist,non-random_sampling,1690,843,759,0,203,0,1237,620,488,0,74,0,26,2,1,0.001
Franklin County,4305,3099,4458,6448,3256,4234,52,0,0,50,0,0,102,clustered_dist,non-random_sampling,1688,846,762,0,197,0,1234,617,488,0,76,0,21,14,1,0.01
Franklin County,4305,3099,4458,6448,3256,4234,52,0,0,49,0,0,101,clustered_dist,non-random_sampling,1695,850,758,0,200,0,1241,625,488,0,78,0,25,4,1,0.003
Franklin County,4305,3099,4458,6448,3256,4234,58,0,0,57,0,0,115,clustered_dist,non-random_sampling,1689,843,765,0,198,0,1236,623,488,0,76,0,43,42,1,0.029
Franklin County,4305,3099,4458,6448,3256,4234,56,0,0,44,0,0,100,clustered_dist,non-random_sampling,1686,844,765,0,206,0,1236,613,488,0,77,0,29,28,1,0.019
Franklin County,4305,3099,4458,6448,3256,4234,60,0,0,50,0,0,110,clustered_dist,non-random_sampling,1691,846,765,0,200,0,1236,623,488,0,77,0,24,12,1,0.008
Franklin County,4305,3099,4458,6448,3256,4234,56,0,0,56,0,0,112,clustered_dist,non-random_sampling,1688,846,757,0,199,0,1238,620,488,0,71,0,38,2,1,0.001
Franklin County,4305,3099,4458,6448,3256,4234,57,0,0,55,0,0,112,clustered_dist,non-random_sampling,1695,845,760,0,203,0,1236,621,488,0,77,0,40,32,1,0.022
Franklin County,4305,3099,4458,6448,3256,4234,61,0,0,51,0,0,112,clustered_dist,non-random_sampling,1686,845,760,0,197,0,1243,626,488,0,74,0,24,1,1,0.001
Franklin County,4305,3099,4458,6448,3256,4234,55,0,0,49,0,0,104,clustered_dist,non-random_sampling,1693,846,758,0,203,0,1246,623,488,0,74,0,23,22,1,0.015
Franklin County,4305,3099,4458,6448,3256,4234,55,0,0,52,0,0,107,clustered_dist,non-random_sampling,1692,845,761,0,199,0,1236,617,488,0,77,0,33,32,1,0.022
Franklin County,4305,3099,4458,6448,3256,4234,51,0,0,51,0,0,102,clustered_dist,non-random_sampling,1689,846,758,0,198,0,1250,623,488,0,76,0,26,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,59,0,0,47,0,0,106,clustered_dist,non-random_sampling,1693,845,761,0,204,0,1229,617,488,0,77,0,28,17,1,0.012
Franklin County,4305,3099,4458,6448,3256,4234,58,0,0,52,0,0,110,clustered_dist,non-random_sampling,1689,843,765,0,202,0,1239,623,488,0,76,0,27,17,1,0.012
Franklin County,4305,3099,4458,6448,3256,4234,47,0,0,59,0,0,106,clustered_dist,non-random_sampling,1692,845,762,0,201,0,1241,619,488,0,77,0,34,34,1,0.023
Franklin County,4305,3099,4458,6448,3256,4234,55,0,0,60,0,0,115,clustered_dist,non-random_sampling,1688,841,762,0,199,0,1241,616,488,0,76,0,29,27,1,0.019
Franklin County,4305,3099,4458,6448,3256,4234,54,0,0,46,0,0,100,clustered_dist,non-random_sampling,1687,842,755,0,199,0,1242,621,488,0,77,0,29,29,1,0.02
Franklin County,4305,3099,4458,6448,3256,4234,52,0,0,59,0,0,111,clustered_dist,non-random_sampling,1685,837,753,0,202,0,1237,619,488,0,76,0,24,15,1,0.01
Franklin County,4305,3099,4458,6448,3256,4234,56,0,0,49,0,0,105,clustered_dist,non-random_sampling,1685,839,758,0,196,0,1236,620,488,0,76,0,40,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,48,0,0,60,0,0,108,clustered_dist,non-random_sampling,1689,846,762,0,204,0,1237,618,488,0,78,0,19,4,1,0.003
Franklin County,4305,3099,4458,6448,3256,4234,44,0,0,63,0,0,107,clustered_dist,non-random_sampling,1691,844,757,0,205,0,1243,622,488,0,76,0,22,9,1,0.006
Franklin County,4305,3099,4458,6448,3256,4234,59,0,0,49,0,0,108,clustered_dist,non-random_sampling,1691,846,763,0,205,0,1238,615,488,0,78,0,28,27,1,0.018
Franklin County,4305,3099,4458,6448,3256,4234,61,0,0,59,0,0,120,clustered_dist,non-random_sampling,1690,846,758,0,203,0,1238,618,488,0,74,0,30,1,1,0.001
Franklin County,4305,3099,4458,6448,3256,4234,53,0,0,63,0,0,116,clustered_dist,non-random_sampling,1690,840,755,0,199,0,1241,621,488,0,75,0,56,17,1,0.012
Franklin County,4305,3099,4458,6448,3256,4234,67,0,0,51,0,0,118,clustered_dist,non-random_sampling,1688,844,763,0,207,0,1240,621,488,0,75,0,26,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,63,0,0,55,0,0,118,clustered_dist,non-random_sampling,1691,843,764,0,203,0,1250,624,488,0,74,0,19,10,1,0.007
Franklin County,4305,3099,4458,6448,3256,4234,46,0,0,62,0,0,108,clustered_dist,non-random_sampling,1689,843,756,0,202,0,1245,623,488,0,75,0,29,4,1,0.003
Franklin County,4305,3099,4458,6448,3256,4234,50,0,0,51,0,0,101,clustered_dist,non-random_sampling,1687,839,760,0,199,0,1230,615,488,0,76,0,34,33,1,0.023
Franklin County,4305,3099,4458,6448,3256,4234,64,0,0,53,0,0,117,clustered_dist,non-random_sampling,1689,842,763,0,204,0,1238,618,488,0,76,0,25,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,57,0,0,58,0,0,115,clustered_dist,non-random_sampling,1685,844,758,0,198,0,1240,615,488,0,77,0,30,29,1,0.02
Franklin County,4305,3099,4458,6448,3256,4234,51,0,0,60,0,0,111,clustered_dist,non-random_sampling,1680,838,757,0,200,0,1239,614,488,0,76,0,20,18,1,0.012
Franklin County,4305,3099,4458,6448,3256,4234,48,0,0,69,0,0,117,clustered_dist,non-random_sampling,1681,841,760,0,203,0,1242,622,488,0,77,0,44,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,54,0,0,46,0,0,100,clustered_dist,non-random_sampling,1689,843,762,0,205,0,1237,623,488,0,78,0,26,26,1,0.018
Franklin County,4305,3099,4458,6448,3256,4234,55,0,0,55,0,0,110,clustered_dist,non-random_sampling,1690,846,756,0,206,0,1239,618,488,0,74,0,21,19,1,0.013
Franklin County,4305,3099,4458,6448,3256,4234,48,0,0,61,0,0,109,clustered_dist,non-random_sampling,1692,846,759,0,204,0,1242,619,488,0,79,0,31,2,1,0.001
Franklin County,4305,3099,4458,6448,3256,4234,44,0,0,56,0,0,100,clustered_dist,non-random_sampling,1687,840,760,0,198,0,1240,620,488,0,75,0,25,2,1,0.001
Franklin County,4305,3099,4458,6448,3256,4234,53,0,0,53,0,0,106,clustered_dist,non-random_sampling,1687,844,756,0,198,0,1243,623,488,0,76,0,26,3,1,0.002
Franklin County,4305,3099,4458,6448,3256,4234,61,0,0,59,0,0,120,clustered_dist,non-random_sampling,1687,842,759,0,203,0,1241,618,488,0,76,0,38,37,1,0.025
Franklin County,4305,3099,4458,6448,3256,4234,58,0,0,49,0,0,107,clustered_dist,non-random_sampling,1692,844,751,0,201,0,1241,621,488,0,79,0,19,19,1,0.013
Franklin County,4305,3099,4458,6448,3256,4234,41,0,0,57,0,0,98,clustered_dist,non-random_sampling,1688,843,758,0,195,0,1234,616,488,0,76,0,21,20,1,0.014
Franklin County,4305,3099,4458,6448,3256,4234,50,0,0,57,0,0,107,clustered_dist,non-random_sampling,1694,850,757,0,207,0,1244,622,488,0,74,0,28,28,1,0.019
Franklin County,4305,3099,4458,6448,3256,4234,49,0,0,51,0,0,100,clustered_dist,non-random_sampling,1688,842,761,0,203,0,1240,620,488,0,73,0,22,1,1,0.001
Franklin County,4305,3099,4458,6448,3256,4234,56,0,0,57,0,0,113,clustered_dist,non-random_sampling,1696,846,760,0,209,0,1236,620,488,0,72,0,27,2,1,0.001
Franklin County,4305,3099,4458,6448,3256,4234,51,0,0,57,0,0,108,clustered_dist,non-random_sampling,1688,843,758,0,206,0,1238,625,488,0,76,0,18,12,1,0.008
Franklin County,4305,3099,4458,6448,3256,4234,50,0,0,55,0,0,105,clustered_dist,non-random_sampling,1694,847,762,0,202,0,1244,620,488,0,76,0,19,19,1,0.013
Franklin County,4305,3099,4458,6448,3256,4234,59,0,0,54,0,0,113,clustered_dist,non-random_sampling,1693,844,759,0,197,0,1243,623,488,0,77,0,24,3,1,0.002
Franklin County,4305,3099,4458,6448,3256,4234,52,0,0,48,0,0,100,clustered_dist,non-random_sampling,1683,845,758,0,204,0,1242,625,488,0,76,0,32,15,1,0.01
