sampling_region,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,CWD_distribution,sampling,AdultMaleHarvest,AdultMaleTested,YearlingMaleHarvest,YearlingMaleTested,FawnMaleHarvest,FawnMaleTested,AdultFemaleHarvest,AdultFemaleTested,YearlingFemaleHarvest,YearlingFemaleTested,FawnFemaleHarvest,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev
Franklin County,4305,3099,4458,6448,3256,4234,59,0,0,48,0,0,107,clustered_dist,non-random_sampling,1693,845,755,0,207,0,1241,623,488,0,79,0,35,24,1,0.016
Franklin County,4305,3099,4458,6448,3256,4234,60,0,0,55,0,0,115,clustered_dist,non-random_sampling,1690,841,760,0,209,0,1250,626,488,0,73,0,34,7,1,0.005
Franklin County,4305,3099,4458,6448,3256,4234,59,0,0,54,0,0,113,clustered_dist,non-random_sampling,1689,845,759,0,202,0,1229,609,488,0,75,0,47,2,1,0.001
Franklin County,4305,3099,4458,6448,3256,4234,56,0,0,51,0,0,107,clustered_dist,non-random_sampling,1688,847,764,0,199,0,1240,619,488,0,74,0,39,39,1,0.027
Franklin County,4305,3099,4458,6448,3256,4234,60,0,0,53,0,0,113,clustered_dist,non-random_sampling,1683,840,762,0,194,0,1237,621,488,0,75,0,40,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,58,0,0,58,0,0,116,clustered_dist,non-random_sampling,1688,847,762,0,208,0,1243,619,488,0,75,0,32,24,1,0.016
Franklin County,4305,3099,4458,6448,3256,4234,50,0,0,56,0,0,106,clustered_dist,non-random_sampling,1691,845,761,0,202,0,1242,620,488,0,76,0,28,28,1,0.019
Franklin County,4305,3099,4458,6448,3256,4234,59,0,0,53,0,0,112,clustered_dist,non-random_sampling,1688,845,761,0,206,0,1241,619,488,0,77,0,29,20,1,0.014
Franklin County,4305,3099,4458,6448,3256,4234,57,0,0,59,0,0,116,clustered_dist,non-random_sampling,1683,840,754,0,204,0,1235,615,488,0,79,0,47,47,1,0.032
Franklin County,4305,3099,4458,6448,3256,4234,57,0,0,63,0,0,120,clustered_dist,non-random_sampling,1691,844,759,0,199,0,1241,623,488,0,77,0,39,27,1,0.018
Franklin County,4305,3099,4458,6448,3256,4234,57,0,0,58,0,0,115,clustered_dist,non-random_sampling,1690,845,761,0,195,0,1229,617,488,0,77,0,39,3,1,0.002
Franklin County,4305,3099,4458,6448,3256,4234,55,0,0,51,0,0,106,clustered_dist,non-random_sampling,1691,845,754,0,199,0,1241,619,488,0,77,0,23,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,49,0,0,60,0,0,109,clustered_dist,non-random_sampling,1690,845,762,0,197,0,1240,621,488,0,75,0,32,1,1,0.001
Franklin County,4305,3099,4458,6448,3256,4234,57,0,0,62,0,0,119,clustered_dist,non-random_sampling,1693,846,761,0,198,0,1245,620,488,0,73,0,26,2,1,0.001
Franklin County,4305,3099,4458,6448,3256,4234,63,0,0,56,0,0,119,clustered_dist,non-random_sampling,1692,849,751,0,195,0,1247,626,488,0,76,0,29,26,1,0.018
Franklin County,4305,3099,4458,6448,3256,4234,58,0,0,54,0,0,112,clustered_dist,non-random_sampling,1694,845,761,0,203,0,1237,617,488,0,73,0,38,23,1,0.016
Franklin County,4305,3099,4458,6448,3256,4234,56,0,0,55,0,0,111,clustered_dist,non-random_sampling,1690,844,760,0,202,0,1240,619,488,0,76,0,25,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,43,0,0,54,0,0,97,clustered_dist,non-random_sampling,1690,844,761,0,204,0,1237,616,488,0,76,0,31,31,1,0.021
Franklin County,4305,3099,4458,6448,3256,4234,53,0,0,55,0,0,108,clustered_dist,non-random_sampling,1681,838,761,0,203,0,1248,628,488,0,75,0,34,21,1,0.014
Franklin County,4305,3099,4458,6448,3256,4234,59,0,0,54,0,0,113,clustered_dist,non-random_sampling,1692,843,757,0,203,0,1240,622,488,0,76,0,46,18,1,0.012
Franklin County,4305,3099,4458,6448,3256,4234,49,0,0,60,0,0,109,clustered_dist,non-random_sampling,1695,848,765,0,205,0,1243,625,488,0,76,0,29,27,1,0.018
Franklin County,4305,3099,4458,6448,3256,4234,63,0,0,57,0,0,120,clustered_dist,non-random_sampling,1691,845,762,0,200,0,1237,618,488,0,75,0,29,28,1,0.019
Franklin County,4305,3099,4458,6448,3256,4234,54,0,0,52,0,0,106,clustered_dist,non-random_sampling,1696,846,759,0,203,0,1241,621,488,0,76,0,47,8,1,0.005
Franklin County,4305,3099,4458,6448,3256,4234,57,0,0,59,0,0,116,clustered_dist,non-random_sampling,1686,842,762,0,201,0,1236,615,488,0,72,0,36,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,60,0,0,62,0,0,122,clustered_dist,non-random_sampling,1690,845,761,0,203,0,1242,625,488,0,75,0,36,3,1,0.002
Franklin County,4305,3099,4458,6448,3256,4234,46,0,0,58,0,0,104,clustered_dist,non-random_sampling,1687,844,753,0,204,0,1235,616,488,0,80,0,23,21,1,0.014
Franklin County,4305,3099,4458,6448,3256,4234,54,0,0,52,0,0,106,clustered_dist,non-random_sampling,1689,843,760,0,196,0,1244,621,488,0,76,0,26,26,1,0.018
Franklin County,4305,3099,4458,6448,3256,4234,55,0,0,68,0,0,123,clustered_dist,non-random_sampling,1688,847,758,0,198,0,1246,624,488,0,77,0,29,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,61,0,0,62,0,0,123,clustered_dist,non-random_sampling,1688,847,759,0,204,0,1247,622,488,0,74,0,32,32,1,0.022
Franklin County,4305,3099,4458,6448,3256,4234,60,0,0,54,0,0,114,clustered_dist,non-random_sampling,1678,837,760,0,195,0,1247,620,488,0,73,0,34,6,1,0.004
Franklin County,4305,3099,4458,6448,3256,4234,49,0,0,73,0,0,122,clustered_dist,non-random_sampling,1684,842,759,0,204,0,1243,618,488,0,76,0,33,10,1,0.007
Franklin County,4305,3099,4458,6448,3256,4234,61,0,0,45,0,0,106,clustered_dist,non-random_sampling,1683,841,756,0,199,0,1233,615,488,0,75,0,28,14,1,0.01
Franklin County,4305,3099,4458,6448,3256,4234,66,0,0,60,0,0,126,clustered_dist,non-random_sampling,1690,845,759,0,199,0,1244,623,488,0,71,0,42,21,1,0.014
