sampling_region,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,CWD_distribution,sampling,AdultMaleHarvest,AdultMaleTested,YearlingMaleHarvest,YearlingMaleTested,FawnMaleHarvest,FawnMaleTested,AdultFemaleHarvest,AdultFemaleTested,YearlingFemaleHarvest,YearlingFemaleTested,FawnFemaleHarvest,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1704,111,758,0,231,0,1302,0,491,0,78,0,30,2,1,0.018
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1746,111,729,0,232,0,1237,0,482,0,81,0,31,3,1,0.027
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1731,111,809,0,220,0,1225,0,465,0,74,0,37,2,1,0.018
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1734,111,773,0,201,0,1285,0,441,0,74,0,44,2,1,0.018
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1717,111,757,0,196,0,1258,0,497,0,80,0,32,2,1,0.018
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1704,111,740,0,235,0,1242,0,493,0,91,0,38,2,1,0.018
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1720,111,772,0,208,0,1284,0,509,0,78,0,25,2,1,0.018
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1713,111,747,0,212,0,1248,0,442,0,54,0,40,3,1,0.027
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1680,111,835,0,218,0,1286,0,502,0,71,0,35,8,1,0.072
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1651,111,787,0,231,0,1231,0,429,0,76,0,36,5,1,0.045
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1753,111,791,0,210,0,1286,0,466,0,85,0,39,2,1,0.018
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1770,111,764,0,218,0,1227,0,490,0,64,0,30,2,1,0.018
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1730,111,779,0,220,0,1248,0,447,0,86,0,31,2,1,0.018
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1733,111,737,0,203,0,1264,0,496,0,71,0,40,1,1,0.009
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1730,111,729,0,189,0,1273,0,501,0,81,0,36,4,1,0.036
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1772,111,796,0,208,0,1267,0,453,0,88,0,32,3,1,0.027
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1730,111,720,0,236,0,1320,0,445,0,67,0,44,6,1,0.054
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1741,111,799,0,211,0,1289,0,484,0,62,0,32,4,1,0.036
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1759,111,721,0,200,0,1247,0,480,0,67,0,36,3,1,0.027
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1717,111,762,0,210,0,1247,0,461,0,66,0,35,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1732,111,748,0,204,0,1239,0,500,0,76,0,31,3,1,0.027
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1657,111,767,0,196,0,1217,0,513,0,80,0,38,2,1,0.018
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1722,111,799,0,206,0,1207,0,481,0,75,0,32,4,1,0.036
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1773,111,769,0,211,0,1227,0,476,0,93,0,38,3,1,0.027
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1748,111,747,0,199,0,1262,0,542,0,79,0,30,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1692,111,782,0,209,0,1266,0,494,0,62,0,24,1,1,0.009
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1710,111,771,0,182,0,1243,0,491,0,85,0,26,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1676,111,747,0,219,0,1277,0,509,0,83,0,31,4,1,0.036
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1696,111,760,0,199,0,1258,0,524,0,80,0,36,3,1,0.027
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1712,111,795,0,226,0,1251,0,502,0,63,0,30,4,1,0.036
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1624,111,764,0,204,0,1262,0,479,0,61,0,39,2,1,0.018
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1709,111,778,0,202,0,1296,0,465,0,67,0,36,1,1,0.009
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1697,111,788,0,188,0,1253,0,503,0,94,0,37,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1737,111,754,0,212,0,1216,0,506,0,84,0,44,2,1,0.018
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1734,111,772,0,205,0,1234,0,502,0,87,0,35,2,1,0.018
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1719,111,771,0,204,0,1274,0,501,0,74,0,35,2,1,0.018
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1719,111,762,0,207,0,1253,0,513,0,91,0,29,2,1,0.018
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1649,111,741,0,212,0,1246,0,495,0,75,0,30,6,1,0.054
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1692,111,756,0,219,0,1207,0,532,0,87,0,29,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1692,111,733,0,203,0,1235,0,510,0,53,0,37,3,1,0.027
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1736,111,727,0,212,0,1343,0,506,0,63,0,28,2,1,0.018
Franklin County,4305,3099,4458,6448,3256,4234,86,0,0,0,0,0,86,random_dist,random_sampling,1715,111,772,0,229,0,1291,0,492,0,81,0,36,1,1,0.009
