posth_mf,posth_my,posth_ma,posth_ff,posth_fy,posth_fa,posth_total,preh_mf,preh_my,preh_ma,preh_ff,preh_fy,preh_fa,preh_total,lambda,mf_harvest,my_harvest,ma_harvest,ff_harvest,fy_harvest,fa_harvest,total_harvest
2597,1824,2932,1530,1956,5560,16399
2451,1809,2903,1454,1956,5444,16017,4034,1978,4270,3961,1269,6127,21639,NA,214,529,1690,62,180,1135,3810
3430,1410,2512,3512,1089,4775,16728,3369,2741,3552,3219,2992,4840,20713,0.957,167,688,1394,72,451,933,3705
2844,2002,2101,2806,2541,3726,16020,3643,2238,3705,3486,2380,5250,20702,0.999,176,538,1439,67,388,986,3594
3136,1662,2195,3077,1992,4053,16115,3557,2465,3484,3269,2612,5054,20441,0.987,183,651,1433,62,357,1008,3694
3022,1772,1983,2891,2255,3887,15810,3737,2432,3591,3543,2509,5810,21622,1.058,171,627,1403,67,383,1162,3813
3250,1747,2168,3137,2126,4607,17035,4049,2594,3598,3934,2691,6244,23110,1.069,189,649,1404,69,401,1273,3985
3474,1899,2152,3465,2290,4891,18171,4201,2773,3669,3978,2972,6383,23976,1.037,192,713,1484,90,463,1278,4220
3588,2011,2131,3535,2509,4958,18732,4327,2861,3773,4156,3033,6474,24624,1.027,207,709,1431,82,455,1296,4180
3721,2100,2293,3687,2578,4995,19374,4273,2974,3940,4339,3155,6455,25136,1.021,204,685,1578,82,453,1269,4271
3667,2231,2307,3812,2702,4969,19688,4362,2925,4103,4345,3267,6460,25462,1.013,204,750,1657,98,522,1308,4539
3718,2121,2375,3828,2745,4952,19739,4406,2978,4107,4445,3294,6565,25795,1.013,199,717,1643,85,502,1255,4401
3794,2210,2416,3878,2792,5096,20186,4527,3044,4228,4446,3345,6626,26216,1.016,212,722,1719,104,476,1289,4522
3913,2270,2445,3942,2869,5117,20556,4647,3129,4272,4416,3367,6775,26606,1.015,219,781,1633,73,488,1329,4523
3988,2306,2569,3881,2879,5194,20817,4645,3139,4436,4436,3316,6741,26713,1.004,216,801,1786,90,489,1316,4698
3989,2278,2571,3903,2827,5186,20754,4532,3170,4382,4412,3398,6689,26583,0.995,206,799,1721,96,456,1262,4540
3896,2306,2575,3867,2942,5180,20766,4688,3130,4437,4459,3331,6816,26861,1.01,222,828,1710,89,514,1382,4745
4023,2256,2659,3940,2817,5204,20899,4596,3263,4438,4522,3370,6730,26919,1.002,202,840,1767,80,500,1312,4701
3938,2361,2603,3981,2870,5165,20918,4676,3167,4506,4408,3435,6711,26903,0.999,216,823,1742,80,525,1309,4695
4033,2295,2694,3927,2910,5160,21019,4601,3229,4555,4479,3366,6759,26989,1.003,219,828,1794,89,529,1288,4747
3926,2350,2674,3956,2837,5208,20951,4654,3126,4536,4371,3358,6744,26789,0.993,228,749,1811,81,512,1311,4692
3973,2323,2658,3848,2846,5191,20839,4641,3192,4522,4505,3313,6681,26854,1.002,228,807,1758,87,506,1338,4724
3958,2330,2680,3972,2807,5101,20848,4536,3136,4538,4308,3423,6591,26532,0.988,215,773,1859,75,500,1288,4710
3882,2295,2614,3822,2923,5072,20608,4619,3082,4418,4324,3282,6653,26378,0.994,222,740,1765,86,488,1325,4626
3940,2287,2585,3856,2794,5111,20573,4608,3148,4400,4473,3286,6655,26570,1.007,201,752,1735,80,471,1311,4550
3943,2342,2602,3976,2815,5099,20777,4587,3115,4474,4337,3418,6597,26528,0.998,224,813,1747,84,532,1243,4643
3920,2263,2665,3857,2886,5119,20710,4612,3159,4442,4411,3299,6698,26621,1.004,217,775,1758,81,506,1287,4624
2502,1828,3024,1441,2119,5095,16009,3998,1997,4392,3899,1228,6003,21517,NA,190,479,1712,72,193,1164,3810
3434,1491,2589,3460,1035,4623,16632,3168,2743,3658,3228,2940,4696,20433,0.95,144,686,1488,70,432,953,3773
2724,2018,2111,2831,2508,3584,15776,3472,2155,3726,3372,2442,5094,20261,0.992,160,524,1476,61,383,997,3601
2954,1583,2189,2972,2059,3946,15703,3440,2362,3415,3355,2487,5052,20111,0.993,166,590,1360,57,362,937,3472
2947,1727,2010,2977,2125,3932,15718,3613,2391,3634,3508,2571,5666,21383,1.063,163,575,1489,67,403,1117,3814
3114,1778,2133,3121,2168,4483,16797,3936,2457,3674,3733,2661,5894,22355,1.045,188,600,1464,83,392,1085,3812
3371,1820,2186,3289,2269,4675,17610,4050,2660,3689,4022,2813,6118,23352,1.045,196,671,1445,69,437,1219,4037
3471,1941,2202,3582,2376,4747,18319,4115,2769,3790,3982,3086,6131,23873,1.022,203,743,1518,88,439,1241,4232
3510,1972,2216,3512,2647,4699,18556,4209,2825,3790,4082,3026,6191,24123,1.01,199,698,1462,76,439,1194,4068
3606,2078,2268,3608,2587,4798,18945,4287,2864,3921,4128,3114,6224,24538,1.017,208,728,1526,73,479,1259,4273
3652,2096,2337,3644,2635,4751,19115,4373,2938,3982,4157,3144,6270,24864,1.013,217,763,1530,87,503,1239,4339
3737,2133,2385,3707,2641,4843,19446,4278,2992,4087,4221,3164,6262,25004,1.006,210,750,1648,88,451,1292,4439
3680,2198,2378,3731,2713,4738,19438,4352,2948,4128,4161,3155,6267,25011,1,221,750,1619,78,483,1175,4326
3710,2144,2435,3670,2672,4860,19491,4310,2956,4168,4236,3191,6280,25141,1.005,203,742,1695,71,477,1183,4371
3682,2150,2398,3749,2714,4873,19566,4459,2921,4087,4079,3243,6381,25170,1.001,227,726,1637,80,530,1292,4492
3786,2155,2382,3624,2713,4875,19535,4430,2979,4134,4169,3109,6352,25173,1,214,742,1611,85,469,1175,4296
3791,2159,2446,3658,2640,4943,19637,4421,2976,4184,4142,3117,6322,25162,1,229,723,1686,69,485,1265,4457
3769,2198,2429,3674,2632,4835,19537,4373,3059,4164,4106,3140,6240,25082,0.997,199,753,1723,62,499,1264,4500
3756,2250,2372,3651,2641,4750,19420,4319,3029,4143,4102,3150,6214,24957,0.995,189,728,1666,54,472,1273,4382
3720,2255,2421,3651,2678,4720,19445,4263,2956,4200,4020,3102,6181,24722,0.991,191,729,1641,81,487,1254,4383
3671,2178,2483,3550,2615,4706,19203,4202,2944,4252,4008,3053,6075,24534,0.992,202,738,1667,65,447,1172,4291
3579,2160,2514,3534,2606,4679,19072,4158,2816,4217,4034,3017,6125,24367,0.993,188,702,1655,69,497,1138,4249
3561,2077,2495,3587,2520,4754,18994,4197,2778,4152,4017,3055,6067,24266,0.996,177,690,1659,72,472,1216,4286
3596,2036,2425,3578,2583,4623,18841,4171,2882,4022,3989,3057,5978,24099,0.993,190,696,1565,72,447,1125,4095
3581,2137,2405,3558,2610,4655,18946,4211,2862,4098,4097,3077,6039,24384,1.012,180,737,1613,89,466,1235,4320
3648,2081,2417,3589,2611,4601,18947,4007,2924,4046,4091,3073,5953,24094,0.988,199,710,1619,78,426,1122,4154
2537,1912,2898,1402,2032,5302,16083,4143,2028,4318,3952,1185,6170,21796,NA,205,472,1752,79,180,1185,3873
3522,1522,2482,3506,1005,4775,16812,3264,2813,3627,3215,2982,4811,20712,0.95,159,718,1434,64,447,939,3761
2823,2054,2117,2848,2535,3703,16080,3636,2238,3754,3438,2441,5234,20741,1.001,150,619,1453,64,377,1035,3698
3136,1598,2237,3047,2064,4004,16086,3472,2509,3452,3398,2601,5091,20523,0.989,170,633,1347,47,425,975,3597
2967,1833,2046,3021,2176,3924,15967,3715,2356,3720,3555,2605,5841,21792,1.062,156,595,1487,69,411,1188,3906
3217,1728,2220,3124,2194,4605,17088,3976,2582,3656,3868,2699,6159,22940,1.053,188,620,1489,67,386,1253,4003
3410,1916,2120,3438,2313,4816,18013,4163,2718,3717,4099,2956,6203,23856,1.04,209,640,1496,91,429,1242,4107
3537,2036,2166,3629,2527,4804,18699,4257,2816,3791,4000,3124,6275,24263,1.017,174,699,1479,81,470,1207,4110
3642,2080,2245,3501,2654,4901,19023,4311,2961,3928,4276,3025,6509,25010,1.031,205,728,1527,87,500,1294,4341
3638,2185,2334,3740,2525,5031,19453,4203,2893,4145,4328,3211,6382,25162,1.006,191,703,1623,78,484,1261,4340
3587,2140,2465,3824,2727,4911,19654,4449,2847,4155,4335,3295,6435,25516,1.014,197,687,1622,74,505,1206,4291
3782,2108,2478,3847,2790,5000,20005,4550,3051,4152,4324,3297,6549,25923,1.016,191,776,1672,85,518,1299,4541
3917,2211,2414,3819,2779,5034,20174,4603,3144,4158,4336,3284,6627,26152,1.009,213,766,1619,79,519,1302,4498
3977,2326,2483,3824,2765,5083,20458,4411,3208,4345,4382,3249,6643,26238,1.003,216,799,1724,66,496,1296,4597
3742,2358,2544,3941,2753,5125,20463,4544,2980,4430,4422,3374,6647,26397,1.006,211,750,1744,81,520,1285,4591
3882,2167,2610,3874,2854,5140,20527,4626,3091,4315,4439,3370,6725,26566,1.006,201,796,1714,75,504,1264,4554
3984,2250,2515,3963,2866,5219,20797,4622,3185,4326,4532,3400,6768,26833,1.01,202,787,1712,81,526,1343,4651
3996,2348,2547,3998,2874,5172,20935,4681,3225,4420,4331,3436,6751,26844,1,222,844,1784,85,519,1364,4818
4023,2326,2558,3844,2917,5138,20806,4569,3199,4411,4446,3326,6677,26628,0.992,208,768,1749,93,509,1272,4599
3911,2367,2590,3923,2817,5173,20781,4581,3109,4464,4461,3370,6690,26675,1.002,202,713,1800,79,460,1266,4520
3908,2331,2595,3979,2910,5162,20885,4706,3126,4444,4394,3414,6797,26881,1.008,212,793,1794,74,492,1315,4680
4023,2275,2582,3919,2922,5241,20962,4745,3221,4396,4438,3357,6811,26968,1.003,218,806,1726,77,530,1307,4664
4081,2361,2598,3944,2827,5253,21064,4576,3237,4487,4643,3384,6769,27096,1.005,215,777,1761,102,516,1413,4784
3979,2397,2651,4111,2868,5105,21111,4639,3174,4514,4490,3484,6698,26999,0.996,206,789,1799,83,497,1347,4721
4016,2334,2628,4001,2987,5104,21070,4635,3180,4470,4481,3441,6756,26963,0.999,206,825,1840,81,541,1310,4803
3971,2319,2554,3969,2900,5191,20904,4557,3185,4423,4600,3382,6757,26904,0.998,219,796,1742,92,522,1304,4675
2463,1859,2911,1419,2141,5293,16086,3972,1984,4321,3961,1229,6126,21593,NA,186,475,1697,72,184,1202,3816
3406,1475,2560,3513,1045,4695,16694,3303,2733,3662,3198,3001,4733,20630,0.955,150,679,1471,68,415,970,3753
2862,2010,2133,2800,2586,3601,15992,3647,2284,3743,3394,2394,5142,20604,0.999,177,585,1546,57,375,968,3708
3131,1671,2154,3020,2019,3974,15969,3445,2498,3432,3338,2564,5029,20306,0.986,159,626,1374,71,384,965,3579
2960,1814,2005,2941,2180,3882,15782,3495,2382,3683,3580,2518,5767,21425,1.055,149,600,1378,69,371,1126,3693
3037,1749,2291,3153,2147,4589,16966,4122,2443,3731,3813,2681,6064,22854,1.067,187,610,1513,82,423,1196,4011
3559,1786,2177,3388,2258,4734,17902,4102,2800,3617,3983,2881,6261,23644,1.035,194,714,1489,65,455,1204,4121
3531,2029,2088,3510,2426,4926,18510,4236,2822,3755,4195,3032,6354,24394,1.032,210,702,1491,96,423,1247,4169
3615,2067,2226,3672,2609,4929,19118,4389,2870,3897,4245,3175,6509,25085,1.028,236,666,1552,75,483,1264,4276
3721,2165,2299,3801,2692,5058,19736,4455,2981,4034,4289,3233,6501,25493,1.016,218,707,1627,74,488,1299,4413
3831,2224,2344,3788,2745,5010,19942,4432,3083,4097,4327,3259,6563,25761,1.011,213,757,1636,79,479,1299,4463
3794,2270,2397,3813,2780,5067,20121,4546,3045,4221,4260,3267,6608,25947,1.007,213,790,1663,79,507,1316,4568
3899,2207,2492,3777,2760,5042,20177,4532,3118,4199,4291,3237,6605,25982,1.001,211,755,1624,77,479,1281,4427
3912,2301,2511,3803,2758,5100,20385,4517,3110,4328,4343,3255,6606,26159,1.007,194,783,1708,92,485,1278,4540
3903,2265,2551,3841,2770,5104,20434,4584,3142,4339,4383,3290,6549,26287,1.005,246,766,1723,75,485,1262,4557
3897,2310,2545,3884,2805,5058,20499,4587,3135,4403,4365,3318,6605,26413,1.005,217,747,1721,86,489,1298,4558
3917,2326,2599,3871,2829,5101,20643,4632,3132,4471,4352,3343,6665,26595,1.007,244,778,1764,82,529,1285,4682
3917,2296,2634,3852,2814,5140,20653,4568,3155,4456,4481,3309,6634,26603,1,225,770,1747,96,504,1303,4645
3894,2326,2646,3944,2805,5104,20719,4614,3109,4508,4370,3403,6649,26653,1.002,224,771,1773,92,496,1292,4648
3924,2286,2657,3863,2907,5079,20716,4568,3135,4471,4526,3292,6708,26700,1.002,205,797,1732,86,499,1286,4605
3914,2285,2679,4015,2793,5185,20871,4623,3114,4532,4418,3449,6686,26822,1.005,224,791,1763,86,499,1337,4700
3909,2268,2703,3911,2950,5126,20867,4684,3131,4502,4457,3335,6756,26865,1.002,208,752,1781,79,467,1358,4645
4028,2318,2650,3924,2868,5134,20922,4602,3221,4510,4466,3389,6751,26939,1.003,220,803,1766,103,511,1346,4749
3946,2361,2672,3931,2878,5160,20948,4632,3163,4559,4409,3361,6616,26740,0.993,228,817,1839,79,522,1302,4787
3955,2291,2639,3930,2839,5074,20728,4457,3177,4433,4465,3362,6685,26579,0.994,225,804,1749,81,488,1303,4650
3829,2321,2614,3945,2874,5172,20755,4721,3035,4429,4421,3403,6737,26746,1.006,222,757,1784,73,510,1309,4655
2531,1837,2964,1390,2110,5251,16083,4155,2035,4317,3832,1185,6131,21655,NA,204,465,1686,69,170,1256,3850
3565,1529,2576,3384,1015,4631,16700,3285,2823,3702,3214,2895,4733,20652,0.954,158,672,1532,57,420,891,3730
2799,2093,2108,2847,2475,3662,15984,3468,2223,3785,3466,2466,5103,20511,0.993,169,551,1444,57,343,968,3532
2965,1625,2274,3079,2123,3957,16023,3537,2388,3521,3415,2651,5125,20637,1.006,157,586,1361,65,388,1038,3595
3033,1748,2098,3031,2263,3905,16078,3722,2445,3703,3557,2555,5890,21872,1.06,177,626,1480,69,364,1214,3930
3182,1775,2216,3142,2191,4631,17137,4059,2512,3762,3807,2681,6203,23024,1.053,234,611,1532,82,384,1260,4103
3472,1859,2202,3349,2297,4806,17985,4247,2797,3718,3994,2876,6286,23918,1.039,197,709,1495,74,441,1216,4132
3639,2041,2179,3558,2435,4923,18775,4292,2885,3942,4065,3041,6324,24549,1.026,195,676,1602,79,454,1204,4210
3660,2166,2300,3569,2587,4922,19204,4374,2903,4046,4212,3108,6444,25087,1.022,222,723,1593,92,483,1288,4401
3747,2133,2388,3693,2625,4990,19576,4326,2998,4108,4214,3143,6485,25274,1.007,212,730,1604,79,439,1327,4391
3707,2195,2450,3701,2704,4939,19696,4476,2911,4206,4136,3149,6407,25285,1,216,689,1718,85,473,1315,4496
3814,2179,2427,3681,2676,4873,19650,4381,3102,4184,4266,3160,6396,25489,1.008,210,746,1695,85,455,1178,4369
3747,2310,2424,3744,2705,4994,19924,4425,2967,4277,4341,3198,6505,25713,1.009,220,777,1712,85,442,1278,4514
3786,2139,2481,3848,2756,5012,20022,4457,3039,4190,4346,3301,6525,25858,1.006,230,746,1627,79,469,1267,4418
3839,2238,2483,3817,2832,5046,20255,4471,3091,4244,4277,3293,6553,25929,1.003,203,777,1705,101,515,1311,4612
3840,2266,2462,3764,2778,5009,20119,4603,3058,4285,4376,3246,6524,26092,1.006,194,734,1754,83,480,1291,4536
3970,2272,2457,3855,2766,5016,20336,4508,3148,4274,4361,3322,6519,26132,1.002,213,787,1627,82,488,1225,4422
3846,2311,2572,3824,2834,5059,20446,4601,3070,4408,4397,3294,6661,26431,1.011,234,723,1791,87,502,1348,4685
3917,2303,2542,3867,2792,5079,20500,4591,3086,4348,4323,3300,6587,26235,0.993,222,751,1718,79,516,1326,4612
3917,2284,2564,3837,2784,5017,20403,4523,3087,4381,4438,3304,6539,26272,1.001,209,757,1770,83,529,1364,4712
3901,2263,2557,3923,2775,4929,20348,4555,3164,4359,4186,3371,6453,26088,0.993,207,759,1789,71,521,1370,4717
3891,2342,2496,3697,2850,4865,20141,4545,3128,4368,4336,3157,6460,25994,0.996,214,777,1687,78,477,1305,4538
3912,2296,2623,3851,2680,4926,20288,4296,3138,4445,4207,3288,6338,25712,0.989,201,778,1768,78,541,1306,4672
3636,2306,2601,3694,2747,4811,19795,4340,2913,4450,4216,3134,6333,25386,0.987,203,714,1776,74,443,1299,4509
