pre-harvest_total,adult_prop,yearling_prop,fawn_prop,f:m_ratio
21912,0.48,0.15,0.37,1.1
20950,0.4,0.28,0.32,1.13
21032,0.43,0.23,0.34,1.17
20830,0.41,0.25,0.34,1.18
22514,0.44,0.23,0.34,1.21
23885,0.43,0.23,0.34,1.24
24741,0.42,0.24,0.34,1.25
25208,0.41,0.25,0.34,1.25
25741,0.42,0.24,0.34,1.21
25818,0.42,0.24,0.34,1.2
25774,0.42,0.24,0.34,1.2
26004,0.42,0.24,0.34,1.2
26041,0.41,0.25,0.34,1.19
26155,0.42,0.25,0.34,1.17
26327,0.42,0.24,0.34,1.18
26186,0.42,0.25,0.34,1.19
26175,0.42,0.24,0.34,1.19
26190,0.42,0.24,0.34,1.19
26371,0.42,0.25,0.34,1.19
26346,0.41,0.24,0.34,1.18
26575,0.41,0.25,0.34,1.18
26424,0.42,0.24,0.34,1.16
26289,0.42,0.24,0.34,1.2
26478,0.42,0.24,0.34,1.18
26450,0.42,0.25,0.34,1.19
26669,0.42,0.24,0.34,1.19
21773,0.49,0.14,0.37,1.07
20907,0.41,0.28,0.31,1.09
20737,0.43,0.23,0.34,1.11
20610,0.42,0.24,0.34,1.16
21737,0.44,0.23,0.33,1.22
23094,0.43,0.23,0.35,1.23
24071,0.42,0.24,0.34,1.22
24837,0.42,0.24,0.34,1.22
25394,0.42,0.24,0.34,1.22
25448,0.42,0.24,0.34,1.2
25670,0.42,0.24,0.34,1.19
25673,0.42,0.25,0.34,1.18
25741,0.42,0.25,0.34,1.16
25569,0.42,0.24,0.34,1.16
25273,0.42,0.25,0.34,1.15
25235,0.42,0.24,0.34,1.16
25096,0.42,0.24,0.34,1.16
25305,0.42,0.24,0.34,1.16
25163,0.42,0.25,0.33,1.16
24994,0.42,0.24,0.34,1.15
24964,0.42,0.24,0.34,1.15
24783,0.42,0.25,0.34,1.16
24727,0.42,0.24,0.34,1.18
24400,0.42,0.25,0.33,1.19
24409,0.42,0.24,0.34,1.21
24573,0.41,0.25,0.34,1.19
21703,0.49,0.14,0.37,1.09
20720,0.4,0.28,0.32,1.13
20660,0.43,0.23,0.34,1.14
20271,0.42,0.25,0.33,1.17
21692,0.44,0.22,0.34,1.21
23031,0.43,0.23,0.34,1.22
24004,0.42,0.23,0.34,1.24
24678,0.42,0.24,0.34,1.24
25022,0.41,0.24,0.35,1.23
25434,0.41,0.25,0.35,1.24
25538,0.42,0.25,0.34,1.21
25700,0.42,0.24,0.34,1.2
25864,0.42,0.24,0.34,1.17
25691,0.41,0.25,0.34,1.16
25717,0.42,0.25,0.34,1.18
25667,0.42,0.24,0.34,1.18
25748,0.42,0.24,0.34,1.18
25791,0.42,0.24,0.34,1.19
25651,0.42,0.25,0.34,1.18
25624,0.42,0.24,0.34,1.17
25609,0.42,0.25,0.33,1.17
25559,0.42,0.24,0.34,1.16
25695,0.42,0.24,0.34,1.16
25555,0.42,0.25,0.33,1.16
25433,0.42,0.24,0.34,1.18
25338,0.42,0.24,0.34,1.2
21736,0.48,0.15,0.37,1.09
20742,0.41,0.28,0.32,1.12
20828,0.44,0.23,0.34,1.13
20418,0.42,0.25,0.33,1.15
21684,0.44,0.23,0.33,1.21
22813,0.43,0.22,0.34,1.24
23893,0.42,0.24,0.35,1.25
24652,0.42,0.24,0.34,1.24
25292,0.41,0.24,0.35,1.19
25631,0.41,0.25,0.34,1.19
25642,0.42,0.24,0.34,1.2
25683,0.42,0.24,0.34,1.2
25553,0.42,0.25,0.33,1.18
25702,0.42,0.24,0.34,1.19
25470,0.42,0.25,0.33,1.19
25444,0.42,0.24,0.34,1.2
25666,0.41,0.24,0.34,1.19
25562,0.41,0.25,0.34,1.19
25625,0.42,0.24,0.34,1.19
25843,0.42,0.24,0.34,1.18
26201,0.42,0.24,0.34,1.18
26259,0.41,0.25,0.34,1.21
26378,0.41,0.24,0.34,1.21
26379,0.42,0.25,0.33,1.19
26351,0.42,0.24,0.34,1.17
26481,0.42,0.24,0.34,1.16
21683,0.48,0.15,0.37,1.07
20590,0.4,0.28,0.32,1.11
20534,0.44,0.23,0.34,1.14
20213,0.42,0.24,0.34,1.17
21269,0.43,0.23,0.34,1.2
22320,0.42,0.23,0.34,1.22
23161,0.42,0.24,0.34,1.2
23676,0.42,0.24,0.34,1.2
23634,0.42,0.24,0.34,1.2
24041,0.42,0.24,0.34,1.19
24356,0.42,0.24,0.34,1.18
24437,0.41,0.25,0.34,1.19
24572,0.42,0.24,0.34,1.18
24700,0.41,0.25,0.34,1.18
24618,0.42,0.25,0.33,1.18
24552,0.42,0.24,0.34,1.17
24789,0.42,0.24,0.34,1.16
24824,0.41,0.25,0.34,1.15
24833,0.42,0.24,0.34,1.18
24939,0.42,0.24,0.34,1.18
24563,0.42,0.25,0.33,1.16
24480,0.42,0.24,0.34,1.16
24506,0.42,0.24,0.34,1.17
24549,0.42,0.24,0.34,1.17
24458,0.42,0.24,0.34,1.21
24385,0.42,0.24,0.34,1.19
21592,0.49,0.14,0.37,1.08
20575,0.41,0.28,0.32,1.12
20510,0.43,0.23,0.34,1.17
20389,0.42,0.25,0.34,1.17
21871,0.44,0.22,0.34,1.24
23342,0.43,0.23,0.35,1.24
24292,0.42,0.24,0.34,1.23
25046,0.41,0.24,0.34,1.22
25386,0.42,0.24,0.34,1.22
25669,0.42,0.24,0.34,1.19
25861,0.42,0.25,0.34,1.19
26286,0.42,0.24,0.34,1.19
26245,0.42,0.25,0.34,1.2
26449,0.42,0.24,0.34,1.19
26213,0.42,0.25,0.34,1.19
26417,0.42,0.24,0.34,1.21
26664,0.42,0.24,0.34,1.18
27068,0.42,0.24,0.34,1.2
26886,0.42,0.25,0.34,1.21
26945,0.42,0.24,0.34,1.2
26878,0.42,0.25,0.34,1.2
27208,0.42,0.24,0.34,1.21
27303,0.42,0.25,0.34,1.2
27588,0.42,0.24,0.34,1.18
27550,0.42,0.25,0.34,1.18
27651,0.42,0.24,0.34,1.18
21562,0.48,0.15,0.37,1.06
20601,0.41,0.28,0.31,1.12
20749,0.44,0.23,0.34,1.15
20659,0.42,0.25,0.34,1.16
22204,0.44,0.23,0.34,1.21
23374,0.43,0.23,0.34,1.22
24240,0.42,0.24,0.34,1.23
24929,0.42,0.24,0.34,1.21
25588,0.42,0.24,0.34,1.23
26076,0.42,0.24,0.34,1.24
26478,0.41,0.24,0.34,1.22
26897,0.41,0.24,0.34,1.22
27096,0.41,0.25,0.34,1.19
27309,0.42,0.24,0.34,1.18
27252,0.42,0.25,0.33,1.16
27038,0.42,0.24,0.34,1.13
26713,0.42,0.24,0.33,1.15
26472,0.42,0.24,0.34,1.18
26397,0.42,0.24,0.34,1.19
26413,0.42,0.24,0.34,1.19
26628,0.42,0.24,0.34,1.2
26801,0.42,0.24,0.34,1.17
26660,0.42,0.25,0.34,1.18
26434,0.42,0.24,0.34,1.18
26360,0.42,0.24,0.34,1.16
26388,0.42,0.24,0.34,1.18
21875,0.48,0.15,0.37,1.08
20714,0.41,0.28,0.31,1.1
20963,0.44,0.22,0.34,1.12
20609,0.42,0.25,0.33,1.14
21437,0.44,0.23,0.33,1.17
22415,0.43,0.23,0.34,1.22
22962,0.43,0.24,0.34,1.22
23448,0.42,0.24,0.34,1.25
24024,0.42,0.24,0.34,1.24
24436,0.41,0.24,0.35,1.21
24702,0.41,0.25,0.34,1.2
